Pair.Name,Ligand.ApprovedSymbol,Ligand.Name,Receptor.ApprovedSymbol,Receptor.Name,DLRP,HPMR,IUPHAR,HPRD,STRING.binding,STRING.experiment,HPMR.Ligand,HPMR.Receptor,PMID.Manual,Pair.Source,Pair.Evidence
IL13_IL13RA1,IL13,interleukin 13,IL13RA1,"interleukin 13 receptor, alpha 1",,,,,,,IL13,IL13RA1,,known,literature supported
IL13_IL13RA2,IL13,interleukin 13,IL13RA2,"interleukin 13 receptor, alpha 2",,,,,,,IL13,IL13RA2,,known,literature supported
IL13_IL2RG,IL13,interleukin 13,IL2RG,"interleukin 2 receptor, gamma",,,,,,,IL13,IL2RG,8920992,known,literature supported
IL13_IL4R,IL13,interleukin 13,IL4R,interleukin 4 receptor,,,,,,,IL13,IL4R,,known,literature supported
IL15_IL15RA,IL15,interleukin 15,IL15RA,"interleukin 15 receptor, alpha",,,,,,,IL15,IL15RA,,known,literature supported
IL15_IL2RA,IL15,interleukin 15,IL2RA,"interleukin 2 receptor, alpha",,,,,,,IL15,IL2RA,8734356,novel,literature supported
IL15_IL2RB,IL15,interleukin 15,IL2RB,"interleukin 2 receptor, beta",,,,,,,IL15,IL2RB,,known,literature supported
IL15_IL2RG,IL15,interleukin 15,IL2RG,"interleukin 2 receptor, gamma",,,,,,,IL15,IL2RG,,known,literature supported
IL16_CCR5,IL16,interleukin 16,CCR5,chemokine (C-C motif) receptor 5 (gene/pseudogene),,,,,,,,CCR5,,novel,putative
IL16_CD4,IL16,interleukin 16,CD4,CD4 molecule,,,,,,,,,,known,literature supported
IL16_GRIN2C,IL16,interleukin 16,GRIN2C,"glutamate receptor, ionotropic, N-methyl D-aspartate 2C",,,,,,,,,,novel,literature supported
IL16_GRIN2D,IL16,interleukin 16,GRIN2D,"glutamate receptor, ionotropic, N-methyl D-aspartate 2D",,,,,,,,,,novel,literature supported
IL16_KCNA3,IL16,interleukin 16,KCNA3,"potassium voltage-gated channel, shaker-related subfamily, member 3",,,,,,,,,,novel,literature supported
IL16_KCND1,IL16,interleukin 16,KCND1,"potassium voltage-gated channel, Shal-related subfamily, member 1",,,,,,,,,,novel,literature supported
IL16_KCND2,IL16,interleukin 16,KCND2,"potassium voltage-gated channel, Shal-related subfamily, member 2",,,,,,,,,,novel,literature supported
IL16_KCNJ10,IL16,interleukin 16,KCNJ10,"potassium inwardly-rectifying channel, subfamily J, member 10",,,,,,,,,,novel,literature supported
IL16_KCNJ15,IL16,interleukin 16,KCNJ15,"potassium inwardly-rectifying channel, subfamily J, member 15",,,,,,,,,,novel,literature supported
IL16_KCNJ4,IL16,interleukin 16,KCNJ4,"potassium inwardly-rectifying channel, subfamily J, member 4",,,,,,,,,,novel,literature supported
IL17A_IL17RA,IL17A,interleukin 17A,IL17RA,interleukin 17 receptor A,,,,,,,IL17A,IL17RA,,known,literature supported
IL17A_IL17RC,IL17A,interleukin 17A,IL17RC,interleukin 17 receptor C,,,,,,,IL17A,IL17RC,18684971,novel,literature supported
IL17B_IL17RB,IL17B,interleukin 17B,IL17RB,interleukin 17 receptor B,,,,,,,IL17B,IL17RB,,known,literature supported
IL17F_IL17RA,IL17F,interleukin 17F,IL17RA,interleukin 17 receptor A,,,,,,,,IL17RA,18684971,novel,literature supported
IL18_CD48,IL18,interleukin 18 (interferon-gamma-inducing factor),CD48,CD48 molecule,,,,,,,IL18,,,novel,putative
IL18_IL18R1,IL18,interleukin 18 (interferon-gamma-inducing factor),IL18R1,interleukin 18 receptor 1,,,,,,,IL18,IL18R1,,known,literature supported
IL18_IL18RAP,IL18,interleukin 18 (interferon-gamma-inducing factor),IL18RAP,interleukin 18 receptor accessory protein,,,,,,,IL18,IL18RAP,,known,literature supported
IL18_IL1RAPL1,IL18,interleukin 18 (interferon-gamma-inducing factor),IL1RAPL1,interleukin 1 receptor accessory protein-like 1,,,,,,,IL18,IL1RAPL1,,known,literature supported
IL18_IL1RL2,IL18,interleukin 18 (interferon-gamma-inducing factor),IL1RL2,interleukin 1 receptor-like 2,,,,,,,IL18,,,novel,literature supported
IL19_IL20RA,IL19,interleukin 19,IL20RA,"interleukin 20 receptor, alpha",,,,,,,IL19,IL20RA,,known,literature supported
IL19_IL20RB,IL19,interleukin 19,IL20RB,interleukin 20 receptor beta,,,,,,,IL19,IL20RB,,known,literature supported
IL1A_IL1R1,IL1A,"interleukin 1, alpha",IL1R1,"interleukin 1 receptor, type I",,,,,,,IL1A,IL1R1,,known,literature supported
IL1A_IL1R2,IL1A,"interleukin 1, alpha",IL1R2,"interleukin 1 receptor, type II",,,,,,,IL1A,IL1R2,,known,literature supported
IL1A_IL1RAP,IL1A,"interleukin 1, alpha",IL1RAP,interleukin 1 receptor accessory protein,,,,,,,IL1A,IL1RAP,,novel,literature supported
IL1B_ADRB2,IL1B,"interleukin 1, beta",ADRB2,"adrenoceptor beta 2, surface",,,,,,,IL1B,ADRB2,,novel,literature supported
IL1B_IL1R1,IL1B,"interleukin 1, beta",IL1R1,"interleukin 1 receptor, type I",,,,,,,IL1B,IL1R1,,known,literature supported
IL1B_IL1R2,IL1B,"interleukin 1, beta",IL1R2,"interleukin 1 receptor, type II",,,,,,,IL1B,IL1R2,,known,literature supported
IL1B_IL1RAP,IL1B,"interleukin 1, beta",IL1RAP,interleukin 1 receptor accessory protein,,,,,,,IL1B,IL1RAP,,known,literature supported
IL1F10_IL1R1,IL1F10,"interleukin 1 family, member 10 (theta)",IL1R1,"interleukin 1 receptor, type I",,,,,,,,IL1R1,,novel,literature supported
IL1RN_IL1R1,IL1RN,interleukin 1 receptor antagonist,IL1R1,"interleukin 1 receptor, type I",,,,,,,,IL1R1,,known,literature supported
IL1RN_IL1R2,IL1RN,interleukin 1 receptor antagonist,IL1R2,"interleukin 1 receptor, type II",,,,,,,,IL1R2,,known,literature supported
IL1RN_IL1RL2,IL1RN,interleukin 1 receptor antagonist,IL1RL2,interleukin 1 receptor-like 2,,,,,,,,,,novel,putative
IL20_IL20RA,IL20,interleukin 20,IL20RA,"interleukin 20 receptor, alpha",,,,,,,IL20,IL20RA,,known,literature supported
IL20_IL20RB,IL20,interleukin 20,IL20RB,interleukin 20 receptor beta,,,,,,,IL20,IL20RB,,known,literature supported
IL20_IL22RA1,IL20,interleukin 20,IL22RA1,"interleukin 22 receptor, alpha 1",,,,,,,IL20,IL22RA1,,known,literature supported
IL21_IL21R,IL21,interleukin 21,IL21R,interleukin 21 receptor,,,,,,,IL21,IL21R,,known,literature supported
IL21_IL2RG,IL21,interleukin 21,IL2RG,"interleukin 2 receptor, gamma",,,,,,,IL21,IL2RG,,known,literature supported
IL22_IL10RA,IL22,interleukin 22,IL10RA,"interleukin 10 receptor, alpha",,,,,,,IL22,IL10RA,,known,literature supported
IL22_IL10RB,IL22,interleukin 22,IL10RB,"interleukin 10 receptor, beta",,,,,,,IL22,IL10RB,,novel,literature supported
IL22_IL21R,IL22,interleukin 22,IL21R,interleukin 21 receptor,,,,,,,IL22,IL21R,,novel,putative
IL22_IL22RA1,IL22,interleukin 22,IL22RA1,"interleukin 22 receptor, alpha 1",,,,,,,IL22,IL22RA1,,known,literature supported
IL22_IL22RA2,IL22,interleukin 22,IL22RA2,"interleukin 22 receptor, alpha 2",,,,,,,IL22,IL22RA2,,known,literature supported
IL23A_IL12RB1,IL23A,"interleukin 23, alpha subunit p19",IL12RB1,"interleukin 12 receptor, beta 1",,,,,,,IL23A,IL12RB1,,known,literature supported
IL23A_IL23R,IL23A,"interleukin 23, alpha subunit p19",IL23R,interleukin 23 receptor,,,,,,,IL23A,IL23R,,known,literature supported
IL24_IL20RA,IL24,interleukin 24,IL20RA,"interleukin 20 receptor, alpha",,,,,,,IL24,IL20RA,,known,literature supported
IL24_IL20RB,IL24,interleukin 24,IL20RB,interleukin 20 receptor beta,,,,,,,IL24,IL20RB,,known,literature supported
IL24_IL22RA1,IL24,interleukin 24,IL22RA1,"interleukin 22 receptor, alpha 1",,,,,,,IL24,IL22RA1,,known,literature supported
IL25_IL17RB,IL25,interleukin 25,IL17RB,interleukin 17 receptor B,,,,,,,IL25,IL17RB,,known,literature supported
IL26_IL20RA,IL26,interleukin 26,IL20RA,"interleukin 20 receptor, alpha",,,,,,,,IL20RA,,novel,putative
IL27_IL27RA,IL27,interleukin 27,IL27RA,"interleukin 27 receptor, alpha",,,,,,,,,,novel,literature supported
IL2_CD53,IL2,interleukin 2,CD53,CD53 molecule,,,,,,,IL2,CD53,,novel,literature supported
IL2_GYPE,IL2,interleukin 2,GYPE,glycophorin E (MNS blood group),,,,,,,IL2,,,novel,putative
IL2_IL2RA,IL2,interleukin 2,IL2RA,"interleukin 2 receptor, alpha",,,,,,,IL2,IL2RA,,known,literature supported
IL2_IL2RB,IL2,interleukin 2,IL2RB,"interleukin 2 receptor, beta",,,,,,,IL2,IL2RB,,known,literature supported
IL2_IL2RG,IL2,interleukin 2,IL2RG,"interleukin 2 receptor, gamma",,,,,,,IL2,IL2RG,,known,literature supported
IL2_NGFR,IL2,interleukin 2,NGFR,nerve growth factor receptor,,,,,,,IL2,NGFR,,novel,literature supported
IL31_IL31RA,IL31,interleukin 31,IL31RA,interleukin 31 receptor A,,,,,,,IL31,IL31RA,,known,literature supported
IL31_OSMR,IL31,interleukin 31,OSMR,oncostatin M receptor,,,,,,,IL31,OSMR,,known,literature supported
IL34_CSF1R,IL34,interleukin 34,CSF1R,colony stimulating factor 1 receptor,,,,,,,,CSF1R,22729249,novel,literature supported
IL3_CSF2RB,IL3,"interleukin 3 (colony-stimulating factor, multiple)",CSF2RB,"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)",,,,,,,IL3,CSF2RB,,known,literature supported
IL3_IL3RA,IL3,"interleukin 3 (colony-stimulating factor, multiple)",IL3RA,"interleukin 3 receptor, alpha (low affinity)",,,,,,,IL3,IL3RA,,known,literature supported
IL4_CD53,IL4,interleukin 4,CD53,CD53 molecule,,,,,,,IL4,CD53,,novel,literature supported
IL4_IL13RA1,IL4,interleukin 4,IL13RA1,"interleukin 13 receptor, alpha 1",,,,,,,IL4,IL13RA1,10641437,known,literature supported
IL4_IL13RA2,IL4,interleukin 4,IL13RA2,"interleukin 13 receptor, alpha 2",,,,,,,IL4,IL13RA2,,novel,literature supported
IL4_IL2RG,IL4,interleukin 4,IL2RG,"interleukin 2 receptor, gamma",,,,,,,IL4,IL2RG,,known,literature supported
IL4_IL4R,IL4,interleukin 4,IL4R,interleukin 4 receptor,,,,,,,IL4,IL4R,,known,literature supported
IL5_CSF2RB,IL5,"interleukin 5 (colony-stimulating factor, eosinophil)",CSF2RB,"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)",,,,,,,IL5,CSF2RB,,known,literature supported
IL5_IL5RA,IL5,"interleukin 5 (colony-stimulating factor, eosinophil)",IL5RA,"interleukin 5 receptor, alpha",,,,,,,IL5,IL5RA,,known,literature supported
IL6_F3,IL6,"interleukin 6 (interferon, beta 2)",F3,"coagulation factor III (thromboplastin, tissue factor)",,,,,,,IL6,F3,,novel,putative
IL6_IL6R,IL6,"interleukin 6 (interferon, beta 2)",IL6R,interleukin 6 receptor,,,,,,,IL6,IL6R,,known,literature supported
IL6_IL6ST,IL6,"interleukin 6 (interferon, beta 2)",IL6ST,"interleukin 6 signal transducer (gp130, oncostatin M receptor)",,,,,,,IL6,IL6ST,,known,literature supported
IL7_IL2RG,IL7,interleukin 7,IL2RG,"interleukin 2 receptor, gamma",,,,,,,IL7,IL2RG,,known,literature supported
IL7_IL7R,IL7,interleukin 7,IL7R,interleukin 7 receptor,,,,,,,IL7,IL7R,,known,literature supported
IL8_CD79A,IL8,interleukin 8,CD79A,"CD79a molecule, immunoglobulin-associated alpha",,,,,,,IL8,,,novel,putative
IL8_CXCR1,IL8,interleukin 8,CXCR1,chemokine (C-X-C motif) receptor 1,,,,,,,IL8,IL8RA,,known,literature supported
IL8_CXCR2,IL8,interleukin 8,CXCR2,chemokine (C-X-C motif) receptor 2,,,,,,,IL8,IL8RB,,known,literature supported
IL8_DARC,IL8,interleukin 8,DARC,"Duffy blood group, atypical chemokine receptor",,,,,,,IL8,DARC,,known,literature supported
IL8_KDR,IL8,interleukin 8,KDR,kinase insert domain receptor (a type III receptor tyrosine kinase),,,,,,,IL8,KDR,,novel,putative
IL8_SDC1,IL8,interleukin 8,SDC1,syndecan 1,,,,,,,IL8,SDC1,,novel,literature supported
IL8_SDC2,IL8,interleukin 8,SDC2,syndecan 2,,,,,,,IL8,SDC2,14527339,novel,literature supported
IL8_SDC3,IL8,interleukin 8,SDC3,syndecan 3,,,,,,,IL8,SDC3,,novel,putative
IL9_IL2RG,IL9,interleukin 9,IL2RG,"interleukin 2 receptor, gamma",,,,,,,IL9,IL2RG,,known,literature supported
IL9_IL9R,IL9,interleukin 9,IL9R,interleukin 9 receptor,,,,,,,IL9,IL9R,,known,literature supported
INHA_ACVR1,INHA,"inhibin, alpha",ACVR1,"activin A receptor, type I",,,,,,,INHA,ACVR1,,known,putative
INHA_ACVR1B,INHA,"inhibin, alpha",ACVR1B,"activin A receptor, type IB",,,,,,,INHA,ACVR1B,,known,putative
INHA_ACVR2A,INHA,"inhibin, alpha",ACVR2A,"activin A receptor, type IIA",,,,,,,INHA,ACVR2A,,known,literature supported
INHA_ACVR2B,INHA,"inhibin, alpha",ACVR2B,"activin A receptor, type IIB",,,,,,,INHA,ACVR2B,,known,putative
INHA_TGFBR3,INHA,"inhibin, alpha",TGFBR3,"transforming growth factor, beta receptor III",,,,,,,INHA,TGFBR3,,known,literature supported
INHBA_ACVR1,INHBA,"inhibin, beta A",ACVR1,"activin A receptor, type I",,,,,,,INHBA,ACVR1,,known,literature supported
INHBA_ACVR1B,INHBA,"inhibin, beta A",ACVR1B,"activin A receptor, type IB",,,,,,,INHBA,ACVR1B,,known,literature supported
INHBA_ACVR2A,INHBA,"inhibin, beta A",ACVR2A,"activin A receptor, type IIA",,,,,,,INHBA,ACVR2A,,known,literature supported
INHBA_ACVR2B,INHBA,"inhibin, beta A",ACVR2B,"activin A receptor, type IIB",,,,,,,INHBA,ACVR2B,,known,literature supported
INHBA_BAMBI,INHBA,"inhibin, beta A",BAMBI,BMP and activin membrane-bound inhibitor,,,,,,,INHBA,BAMBI,,known,literature supported
INHBA_ENG,INHBA,"inhibin, beta A",ENG,endoglin,,,,,,,INHBA,ENG,,novel,literature supported
INHBA_TGFBR3,INHBA,"inhibin, beta A",TGFBR3,"transforming growth factor, beta receptor III",,,,,,,INHBA,TGFBR3,,novel,literature supported
INHBB_ACVR1,INHBB,"inhibin, beta B",ACVR1,"activin A receptor, type I",,,,,,,INHBB,ACVR1,,known,literature supported
INHBB_ACVR1B,INHBB,"inhibin, beta B",ACVR1B,"activin A receptor, type IB",,,,,,,INHBB,ACVR1B,,known,literature supported
INHBB_ACVR1C,INHBB,"inhibin, beta B",ACVR1C,"activin A receptor, type IC",,,,,,,INHBB,ACVR1C,,novel,literature supported
INHBB_ACVR2A,INHBB,"inhibin, beta B",ACVR2A,"activin A receptor, type IIA",,,,,,,INHBB,ACVR2A,,known,literature supported
INHBB_ACVR2B,INHBB,"inhibin, beta B",ACVR2B,"activin A receptor, type IIB",,,,,,,INHBB,ACVR2B,,known,literature supported
INHBC_ACVR1,INHBC,"inhibin, beta C",ACVR1,"activin A receptor, type I",,,,,,,INHBC,ACVR1,,known,literature supported
INHBC_ACVR1B,INHBC,"inhibin, beta C",ACVR1B,"activin A receptor, type IB",,,,,,,INHBC,ACVR1B,,known,literature supported
INHBC_ACVR2A,INHBC,"inhibin, beta C",ACVR2A,"activin A receptor, type IIA",,,,,,,INHBC,ACVR2A,,known,literature supported
INHBC_ACVR2B,INHBC,"inhibin, beta C",ACVR2B,"activin A receptor, type IIB",,,,,,,INHBC,ACVR2B,,known,literature supported
INHBE_ACVR1,INHBE,"inhibin, beta E",ACVR1,"activin A receptor, type I",,,,,,,,ACVR1,,novel,putative
INHBE_ACVR1B,INHBE,"inhibin, beta E",ACVR1B,"activin A receptor, type IB",,,,,,,,ACVR1B,,novel,putative
INHBE_ACVR2A,INHBE,"inhibin, beta E",ACVR2A,"activin A receptor, type IIA",,,,,,,,ACVR2A,,novel,putative
INHBE_ENG,INHBE,"inhibin, beta E",ENG,endoglin,,,,,,,,ENG,,novel,putative
INSL3_RXFP2,INSL3,insulin-like 3 (Leydig cell),RXFP2,relaxin/insulin-like family peptide receptor 2,,,,,,,INSL3,RXFP2,,known,literature supported
INSL5_RXFP3,INSL5,insulin-like 5,RXFP3,relaxin/insulin-like family peptide receptor 3,,,,,,,INSL5,RXFP3,,known,literature supported
INSL5_RXFP4,INSL5,insulin-like 5,RXFP4,relaxin/insulin-like family peptide receptor 4,,,,,,,INSL5,RXFP4,,known,literature supported
INS_IGF1R,INS,insulin,IGF1R,insulin-like growth factor 1 receptor,,,,,,,INS,IGF1R,,novel,literature supported
INS_INSR,INS,insulin,INSR,insulin receptor,,,,,,,INS,INSR,,known,literature supported
INS_LRP2,INS,insulin,LRP2,low density lipoprotein receptor-related protein 2,,,,,,,INS,LRP2,,novel,literature supported
ITGB3BP_ITGB3,ITGB3BP,integrin beta 3 binding protein (beta3-endonexin),ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)",,,,,,,ITGB3BP,ITGB3,,novel,literature supported
ITGB3BP_ITGB5,ITGB3BP,integrin beta 3 binding protein (beta3-endonexin),ITGB5,"integrin, beta 5",,,,,,,ITGB3BP,ITGB5,,novel,literature supported
ITIH2_FCER1A,ITIH2,inter-alpha-trypsin inhibitor heavy chain 2,FCER1A,"Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide",,,,,,,,,,novel,literature supported
JAG1_NOTCH1,JAG1,jagged 1,NOTCH1,notch 1,,,,,,,JAG1,NOTCH1,,known,literature supported
JAG1_NOTCH2,JAG1,jagged 1,NOTCH2,notch 2,,,,,,,JAG1,NOTCH2,,known,literature supported
JAG1_NOTCH3,JAG1,jagged 1,NOTCH3,notch 3,,,,,,,JAG1,NOTCH3,,known,literature supported
JAG1_NOTCH4,JAG1,jagged 1,NOTCH4,notch 4,,,,,,,JAG1,NOTCH4,24563863,known,literature supported
JAG2_NOTCH1,JAG2,jagged 2,NOTCH1,notch 1,,,,,,,JAG2,NOTCH1,,known,literature supported
JAG2_NOTCH2,JAG2,jagged 2,NOTCH2,notch 2,,,,,,,JAG2,NOTCH2,,known,literature supported
JAG2_NOTCH3,JAG2,jagged 2,NOTCH3,notch 3,,,,,,,JAG2,NOTCH3,,known,literature supported
JAG2_NOTCH4,JAG2,jagged 2,NOTCH4,notch 4,,,,,,,JAG2,NOTCH4,,known,putative
KAL1_FGFR1,KAL1,Kallmann syndrome 1 sequence,FGFR1,fibroblast growth factor receptor 1,,,,,,,KAL1,FGFR1,19696444,novel,literature supported
KAL1_SDC2,KAL1,Kallmann syndrome 1 sequence,SDC2,syndecan 2,,,,,,,KAL1,SDC2,,novel,literature supported
KISS1_KISS1R,KISS1,KiSS-1 metastasis-suppressor,KISS1R,KISS1 receptor,,,,,,,KISS1,KISS1R,,known,literature supported
KISS1_MMP24,KISS1,KiSS-1 metastasis-suppressor,MMP24,matrix metallopeptidase 24 (membrane-inserted),,,,,,,KISS1,,,novel,literature supported
KITLG_EPOR,KITLG,KIT ligand,EPOR,erythropoietin receptor,,,,,,,KITLG,EPOR,,novel,literature supported
KITLG_KIT,KITLG,KIT ligand,KIT,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,,,,,,,KITLG,KIT,,known,literature supported
KLK3_EPOR,KLK3,kallikrein-related peptidase 3,EPOR,erythropoietin receptor,,,,,,,,EPOR,,novel,literature supported
KNG1_BDKRB1,KNG1,kininogen 1,BDKRB1,bradykinin receptor B1,,,,,,,KNG1,BDKRB1,,known,literature supported
KNG1_BDKRB2,KNG1,kininogen 1,BDKRB2,bradykinin receptor B2,,,,,,,KNG1,BDKRB2,,known,literature supported
KNG1_CD93,KNG1,kininogen 1,CD93,CD93 molecule,,,,,,,KNG1,CD93,,novel,literature supported
KNG1_GP1BA,KNG1,kininogen 1,GP1BA,"glycoprotein Ib (platelet), alpha polypeptide",,,,,,,KNG1,,,novel,literature supported
KNG1_GPR135,KNG1,kininogen 1,GPR135,G protein-coupled receptor 135,,,,,,,KNG1,GPR135,,known,literature supported
KNG1_ITGAM,KNG1,kininogen 1,ITGAM,"integrin, alpha M (complement component 3 receptor 3 subunit)",,,,,,,KNG1,ITGAM,,novel,putative
KNG1_ITGB2,KNG1,kininogen 1,ITGB2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)",,,,,,,KNG1,ITGB2,,novel,literature supported
KNG1_PLAUR,KNG1,kininogen 1,PLAUR,"plasminogen activator, urokinase receptor",,,,,,,KNG1,PLAUR,,novel,literature supported
KNG1_RXFP4,KNG1,kininogen 1,RXFP4,relaxin/insulin-like family peptide receptor 4,,,,,,,KNG1,RXFP4,,novel,literature supported
KNG1_SDC2,KNG1,kininogen 1,SDC2,syndecan 2,,,,,,,KNG1,SDC2,,novel,putative
KRTAP4-12_AQP1,KRTAP4-12,keratin associated protein 4-12,AQP1,aquaporin 1 (Colton blood group),,,,,,,,,,novel,literature supported
KRTAP4-12_CATSPER1,KRTAP4-12,keratin associated protein 4-12,CATSPER1,"cation channel, sperm associated 1",,,,,,,,,,novel,literature supported
KRTAP4-12_CLDN2,KRTAP4-12,keratin associated protein 4-12,CLDN2,claudin 2,,,,,,,,,,novel,literature supported
KRTAP4-12_CNTFR,KRTAP4-12,keratin associated protein 4-12,CNTFR,ciliary neurotrophic factor receptor,,,,,,,,CNTFR,,novel,literature supported
KRTAP4-12_DLK2,KRTAP4-12,,DLK2,,,,,,,,,,,novel,EXCLUDED
KRTAP4-12_LINGO1,KRTAP4-12,keratin associated protein 4-12,LINGO1,leucine rich repeat and Ig domain containing 1,,,,,,,,LRRN6A,,novel,literature supported
KRTAP4-12_PDGFRB,KRTAP4-12,keratin associated protein 4-12,PDGFRB,"platelet-derived growth factor receptor, beta polypeptide",,,,,,,,PDGFRB,,novel,literature supported
KRTAP4-12_PLSCR4,KRTAP4-12,keratin associated protein 4-12,PLSCR4,phospholipid scramblase 4,,,,,,,,,,novel,literature supported
L1CAM_CNTN1,L1CAM,L1 cell adhesion molecule,CNTN1,contactin 1,,,,,,,L1CAM,CNTN1,,novel,literature supported
L1CAM_EGFR,L1CAM,L1 cell adhesion molecule,EGFR,epidermal growth factor receptor,,,,,,,L1CAM,EGFR,14718570,novel,literature supported
L1CAM_EPHB2,L1CAM,L1 cell adhesion molecule,EPHB2,EPH receptor B2,,,,,,,L1CAM,EPHB2,,novel,putative
L1CAM_ERBB2,L1CAM,L1 cell adhesion molecule,ERBB2,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2,,,,,,,L1CAM,ERBB2,22815787,novel,literature supported
L1CAM_ERBB3,L1CAM,L1 cell adhesion molecule,ERBB3,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3,,,,,,,L1CAM,ERBB3,22815787,novel,literature supported
L1CAM_FGFR2,L1CAM,L1 cell adhesion molecule,FGFR2,fibroblast growth factor receptor 2,,,,,,,L1CAM,FGFR2,,novel,putative
L1CAM_ITGA5,L1CAM,L1 cell adhesion molecule,ITGA5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)",,,,,,,L1CAM,ITGA5,,novel,literature supported
L1CAM_ITGAV,L1CAM,L1 cell adhesion molecule,ITGAV,"integrin, alpha V",,,,,,,L1CAM,ITGAV,,novel,literature supported
LACRT_SDC1,LACRT,lacritin,SDC1,syndecan 1,,,,,,,,SDC1,,novel,literature supported
LAMA1_GPC1,LAMA1,"laminin, alpha 1",GPC1,glypican 1,,,,,,,LAMA1,GPC1,,novel,putative
LAMA1_ITGA1,LAMA1,"laminin, alpha 1",ITGA1,"integrin, alpha 1",,,,,,,LAMA1,ITGA1,,novel,literature supported
LAMA1_ITGA2,LAMA1,"laminin, alpha 1",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",,,,,,,LAMA1,ITGA2,,novel,literature supported
LAMA1_ITGA3,LAMA1,"laminin, alpha 1",ITGA3,"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)",,,,,,,LAMA1,ITGA3,,novel,putative
LAMA1_ITGA6,LAMA1,"laminin, alpha 1",ITGA6,"integrin, alpha 6",,,,,,,LAMA1,ITGA6,,novel,putative
LAMA1_ITGA7,LAMA1,"laminin, alpha 1",ITGA7,"integrin, alpha 7",,,,,,,LAMA1,ITGA7,,known,literature supported
LAMA1_ITGB1,LAMA1,"laminin, alpha 1",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,LAMA1,ITGB1,,known,literature supported
LAMA1_ITGB4,LAMA1,"laminin, alpha 1",ITGB4,"integrin, beta 4",,,,,,,LAMA1,ITGB4,,novel,putative
LAMA1_ITGB8,LAMA1,"laminin, alpha 1",ITGB8,"integrin, beta 8",,,,,,,LAMA1,ITGB8,,known,literature supported
LAMA1_NT5E,LAMA1,"laminin, alpha 1",NT5E,"5'-nucleotidase, ecto (CD73)",,,,,,,LAMA1,,,novel,literature supported
LAMA1_RPSA,LAMA1,"laminin, alpha 1",RPSA,ribosomal protein SA,,,,,,,LAMA1,RPSA,,known,literature supported
LAMA1_SDC2,LAMA1,"laminin, alpha 1",SDC2,syndecan 2,,,,,,,LAMA1,SDC2,,novel,putative
LAMA1_SDC4,LAMA1,"laminin, alpha 1",SDC4,syndecan 4,,,,,,,LAMA1,SDC4,,novel,putative
LAMA1_TMPRSS6,LAMA1,"laminin, alpha 1",TMPRSS6,"transmembrane protease, serine 6",,,,,,,LAMA1,,,novel,literature supported
LAMA2_ITGA1,LAMA2,"laminin, alpha 2",ITGA1,"integrin, alpha 1",,,,,,,LAMA2,ITGA1,,novel,putative
LAMA2_ITGA2,LAMA2,"laminin, alpha 2",ITGA2,"integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)",,,,,,,LAMA2,ITGA2,,novel,putative
LAMA2_ITGA3,LAMA2,"laminin, alpha 2",ITGA3,"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)",,,,,,,LAMA2,ITGA3,,novel,putative
LAMA2_ITGA6,LAMA2,"laminin, alpha 2",ITGA6,"integrin, alpha 6",,,,,,,LAMA2,ITGA6,,novel,putative
LAMA2_ITGA7,LAMA2,"laminin, alpha 2",ITGA7,"integrin, alpha 7",,,,,,,LAMA2,ITGA7,,known,literature supported
LAMA2_ITGB1,LAMA2,"laminin, alpha 2",ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)",,,,,,,LAMA2,ITGB1,,known,literature supported
LAMA2_ITGB4,LAMA2,"laminin, alpha 2",ITGB4,"integrin, beta 4",,,,,,,LAMA2,ITGB4,,novel,putative
LAMA2_RPSA,LAMA2,"laminin, alpha 2",RPSA,ribosomal protein SA,,,,,,,LAMA2,RPSA,,known,literature supported
LAMA3_SDC2,LAMA3,"laminin, alpha 3",SDC2,syndecan 2,,,,,,,LAMA3,SDC2,,novel,literature supported
LAMA4_ITGA3,LAMA4,"laminin, alpha 4",ITGA3,"integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)",,,,,,,LAMA4,ITGA3,,novel,putative
LAMA4_ITGA6,LAMA4,"laminin, alpha 4",ITGA6,"integrin, alpha 6",,,,,,,LAMA4,ITGA6,,novel,putative
LAMA4_ITGAV,LAMA4,"laminin, alpha 4",ITGAV,"integrin, alpha V",,,,,,,LAMA4,ITGAV,,novel,putative
